N,Tiempo_ms,Tipo,Hilos
100,0:00.00,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.18,SECUENCIAL,1
800,0:01.45,SECUENCIAL,1
1600,0:13.14,SECUENCIAL,1
3200,2:16.67,SECUENCIAL,1
100,0:00.04,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.19,SECUENCIAL,1
800,0:01.44,SECUENCIAL,1
1600,0:13.25,SECUENCIAL,1
3200,2:25.85,SECUENCIAL,1
100,0:00.04,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.22,SECUENCIAL,1
800,0:01.51,SECUENCIAL,1
1600,0:13.15,SECUENCIAL,1
3200,2:14.44,SECUENCIAL,1
100,0:00.04,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.18,SECUENCIAL,1
800,0:01.45,SECUENCIAL,1
1600,0:13.36,SECUENCIAL,1
3200,2:16.66,SECUENCIAL,1
100,0:00.04,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.18,SECUENCIAL,1
800,0:01.45,SECUENCIAL,1
1600,0:13.29,SECUENCIAL,1
3200,2:19.50,SECUENCIAL,1
100,0:00.04,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.19,SECUENCIAL,1
800,0:01.48,SECUENCIAL,1
1600,0:13.16,SECUENCIAL,1
3200,2:15.02,SECUENCIAL,1
100,0:00.04,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.19,SECUENCIAL,1
800,0:01.47,SECUENCIAL,1
1600,0:13.30,SECUENCIAL,1
3200,2:16.92,SECUENCIAL,1
100,0:00.04,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.19,SECUENCIAL,1
800,0:01.45,SECUENCIAL,1
1600,0:13.19,SECUENCIAL,1
3200,2:15.80,SECUENCIAL,1
100,0:00.04,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.18,SECUENCIAL,1
800,0:01.48,SECUENCIAL,1
1600,0:13.29,SECUENCIAL,1
3200,2:27.68,SECUENCIAL,1
100,0:00.04,SECUENCIAL,1
200,0:00.03,SECUENCIAL,1
400,0:00.18,SECUENCIAL,1
800,0:01.45,SECUENCIAL,1
1600,0:13.28,SECUENCIAL,1
3200,2:16.18,SECUENCIAL,1
100,0:00.00,Memoria-Optimizada,1
200,0:00.02,Memoria-Optimizada,1
400,0:00.08,Memoria-Optimizada,1
800,0:00.51,Memoria-Optimizada,1
1600,0:03.44,Memoria-Optimizada,1
3200,0:23.79,Memoria-Optimizada,1
100,0:00.04,Memoria-Optimizada,1
200,0:00.02,Memoria-Optimizada,1
400,0:00.08,Memoria-Optimizada,1
800,0:00.53,Memoria-Optimizada,1
1600,0:03.39,Memoria-Optimizada,1
3200,0:23.70,Memoria-Optimizada,1
100,0:00.04,Memoria-Optimizada,1
200,0:00.01,Memoria-Optimizada,1
400,0:00.08,Memoria-Optimizada,1
800,0:00.51,Memoria-Optimizada,1
1600,0:03.42,Memoria-Optimizada,1
3200,0:23.64,Memoria-Optimizada,1
100,0:00.04,Memoria-Optimizada,1
200,0:00.02,Memoria-Optimizada,1
400,0:00.08,Memoria-Optimizada,1
800,0:00.54,Memoria-Optimizada,1
1600,0:03.42,Memoria-Optimizada,1
3200,0:23.95,Memoria-Optimizada,1
100,0:00.04,Memoria-Optimizada,1
200,0:00.01,Memoria-Optimizada,1
400,0:00.08,Memoria-Optimizada,1
800,0:00.51,Memoria-Optimizada,1
1600,0:03.43,Memoria-Optimizada,1
3200,0:23.65,Memoria-Optimizada,1
100,0:00.04,Memoria-Optimizada,1
200,0:00.01,Memoria-Optimizada,1
400,0:00.08,Memoria-Optimizada,1
800,0:00.53,Memoria-Optimizada,1
1600,0:03.41,Memoria-Optimizada,1
3200,0:23.72,Memoria-Optimizada,1
100,0:00.04,Memoria-Optimizada,1
200,0:00.01,Memoria-Optimizada,1
400,0:00.09,Memoria-Optimizada,1
800,0:00.53,Memoria-Optimizada,1
1600,0:03.46,Memoria-Optimizada,1
3200,0:23.63,Memoria-Optimizada,1
100,0:00.05,Memoria-Optimizada,1
200,0:00.01,Memoria-Optimizada,1
400,0:00.08,Memoria-Optimizada,1
800,0:00.54,Memoria-Optimizada,1
1600,0:03.38,Memoria-Optimizada,1
3200,0:23.74,Memoria-Optimizada,1
100,0:00.04,Memoria-Optimizada,1
200,0:00.01,Memoria-Optimizada,1
400,0:00.08,Memoria-Optimizada,1
800,0:00.51,Memoria-Optimizada,1
1600,0:03.57,Memoria-Optimizada,1
3200,0:23.85,Memoria-Optimizada,1
100,0:00.03,Memoria-Optimizada,1
