Version,N,Hilos,Tiempo(s),User(s),System(s),CPU(%),Memoria(KB)
Secuencial,100,1,0:00.00,0.00,0.00,,1812
Secuencial,100,1,0:00.01,0.01,0.00,,1812
Secuencial,100,1,0:00.01,0.01,0.00,,1812
Secuencial,200,1,0:00.05,0.05,0.00,,2196
Secuencial,200,1,0:00.05,0.04,0.00,,2196
Secuencial,200,1,0:00.05,0.04,0.00,,2196
Secuencial,400,1,0:00.16,0.15,0.00,,3604
Secuencial,400,1,0:00.12,0.11,0.00,,3604
Secuencial,400,1,0:00.11,0.11,0.00,,3604
OpenMP,100,2,0:00.00,0.00,0.00,,2064
OpenMP,100,2,0:00.00,0.00,0.00,,2124
OpenMP,100,2,0:00.00,0.00,0.00,,2136
OpenMP,100,4,0:00.00,0.00,0.00,,1916
OpenMP,100,4,0:00.00,0.00,0.00,,1916
OpenMP,100,4,0:00.00,0.00,0.00,,1936
OpenMP,200,2,0:00.00,0.00,0.00,,2128
OpenMP,200,2,0:00.00,0.00,0.00,,2064
OpenMP,200,2,0:00.00,0.00,0.00,,2124
OpenMP,200,4,0:00.00,0.00,0.00,,2012
OpenMP,200,4,0:00.00,0.00,0.00,,2040
OpenMP,200,4,0:00.00,0.00,0.00,,2044
OpenMP,400,2,0:00.00,0.00,0.00,,2108
OpenMP,400,2,0:00.00,0.00,0.00,,2012
OpenMP,400,2,0:00.00,0.00,0.00,,2012
OpenMP,400,4,0:00.00,0.00,0.00,,2120
OpenMP,400,4,0:00.00,0.00,0.00,,1944
OpenMP,400,4,0:00.00,0.00,0.00,,2124
